rowid,sku,producto,proveedor,marca,precio_sin_iva,pmp_sin_iva,ganancia_moneda_nacional,margen_porcentaje,stock_total
77292,JAR-B5CA,"BAJO QUINTO JARAMILLO CAOBA",JARAMILLO,JARAMILLO,8626.74138000,7500.00000000,1126.74138000,13.061031163079,1
75910,CSLRF,"CAJA SANTA LA ROSA FIBRA","LA ROSA","SIN MARCA",2330.17241379,1200.00000000,1130.17241379,48.501664816802,1
88541,8214342,"BAJO ELECTROACUSTICO IBANEZ AEGB24E-BKH NEGRO",VEERKAMP,IBANEZ,8631.97414000,7497.07000000,1134.90414000,13.147677710721,3
82592,BLX14/P31-J11,"SHURE SISTEMA INALAMBRICO CON MICROFONO DE DIADEMA",REPRESENTACIONES,SHURE,6279.31034000,5144.11000000,1135.20034000,18.078423879907,2
89178,04486,"SISTEMA DE AUDIO MERCURY DSP 1501 MOD - BCN017 VAMAV","MASSIVE ELECTRONICA HOME",VAMAV,4512.50000000,3375.96980000,1136.53020000,25.186264819945,8
91549,1603,"E-LP-SET-NECK-BK GUITARRA MCCARTNEY ELECTRICA E-LP SET NECK SANDARD CUERPO SOLIDO COLOR NEGRA",ENTRERPRICE,MCCARTNEY,3791.38000000,2653.72000000,1137.66000000,30.006488402640,3
90723,0379900006,"PK DEBUT P BASS LRL WPG BLK R15 120 US SQUIER",FENDER,SQUIER,6012.56034000,4874.81000000,1137.75034000,18.922892672375,8
91319,2514101561,"GUITARRA GRETSCH EMTC JET CLB 1PU CLRT",FENDER,GRETSCH,7286.87069000,6148.89000000,1137.98069000,15.616864061574,1
31036,IABEHFBQ2496,"PROCESADOR BEHRINGER MOD. FBQ2496",INOVAUDIO,BEHRINGER,3357.75862000,2218.98276000,1138.77586000,33.914762461395,1
88572,981764,"QMC-1000A, Subwoofer Activo 1x18 con DSP, 1,000W",SENSEY,QMC,8612.06897000,7468.96650000,1143.10247000,13.273261907005,1
91012,2817050533,"GUITARRA GRETSCH G2622 STRML CB DC MD SPH",FENDER,GRETSCH,7728.32759000,6583.89000000,1144.43759000,14.808347299885,1
82884,KL-10,"GABINETE ACUSTICO 10 AUTOAMPLIFICADO DB TECH",REPRESENTACIONES,"DB TECHNOLOGIES",9100.29310000,7954.00000000,1146.29310000,12.596221763451,1
89115,632,"JBTB-1415 TIMBALES PARA BANDA 14",ENTRERPRICE,EVOLUTION,3751.96552000,2605.33000000,1146.63552000,30.560929035403,3
75849,KV3SKA44,"VIOLIN YAMAHA DE ESTUDIO 4/4",YAMAHA,YAMAHA,6732.38793000,5585.28000000,1147.10793000,17.038648722074,15
77501,IABEHXR16,"MEZCLADORA BEHRINGER MOD. XR16",INOVAUDIO,BEHRINGER,7818.75000000,6668.05000000,1150.70000000,14.717186250999,5
82028,IASENXSW2ME2SEB,"MICROFONO SENNHEISER INALAMB. XSW2-ME2",AUDYSON,SENNHEISER,9137.03448000,7980.34500000,1156.68948000,12.659353344150,2
87070,GAPX600OBB,"GUITARRA YAMAHA ELECTROACUSTICA SERIE",YAMAHA,YAMAHA,5938.94828000,4780.40000000,1158.54828000,19.507633765755,2
87169,GAPX600BL,"GUITARRA ELECTROACUSTICA YAMAHA SERIE",YAMAHA,YAMAHA,5938.94828000,4780.40000000,1158.54828000,19.507633765755,1
87068,GAPX600NT,"GUITARRA YAMAHA ELECTROACUSTICA SERIE",YAMAHA,YAMAHA,5938.94828000,4780.40000000,1158.54828000,19.507633765755,1
87353,GAPX600VW,"GUITARRA ELECTROACUSTICA SERIE APX 600",YAMAHA,YAMAHA,5938.94828000,4780.40000000,1158.54828000,19.507633765755,2
82588,8202806,"GUITARRA ELECTRICA IBANEZ SA AZUL SOMBREADO NEGRO SA360NQM-SPB",VEERKAMP,IBANEZ,8677.02586000,7516.01000000,1161.01586000,13.380343434864,1
88681,2910132568,"GUITARRA ELÉCTRICA 7 CUERDAS JACKSON JS SERIES DINKY ARCH TOP JS22-7 DKA HT NEGRO SATINADO",FENDER,JACKSON,3878.44828000,2717.06000000,1161.38828000,29.944663333244,2
78253,8202758,"GUITARRA ELECTRICA IBAÑEZ RGA CAFE SOMBREADA RGA42FM-DEF",VEERKAMP,IBANEZ,8902.03448000,7739.99000000,1162.04448000,13.053695563758,1
7851,3220100,"BONGO LP GENERACION II MAD.NAT 19Y22CM H",VEERKAMP,LP,7797.57759000,6635.41500000,1162.16259000,14.904149097412,2
89527,"SPACE 1024","CONTROLADOR PARA ILUMINACIÓN ALIEN PRO","QUALITY LIGHTS","ALIEN PRO",5105.83621000,3940.80680000,1165.02941000,22.817602486312,3
88238,2918809587,"GUITARRA JACKSON JS32Q DKA HT - TRS GRN BRST",FENDER,JACKSON,5085.34483000,3919.47000000,1165.87483000,22.926170573963,1
87376,2910339590,"GUITARRA ELEC. JACKSON JS24 DKAM DX RED STAIN/BKD NECK",FENDER,JACKSON,5086.20690000,3919.47000000,1166.73690000,22.939233950550,2
81069,IPHEAMC52BLK,"CONGA HEADLINER JGO MOD. MC-52",GONHER,HEADLINER,8714.61207000,7545.57000000,1169.04207000,13.414734478250,1
82744,IPGRTGE4S484RRS,"BATERIA GRETSCH ACUSTICA ENERGY STREET",GONHER,GRETSCH,13014.77586000,11844.42241000,1170.35345000,8.992497931501,1
89392,0971752088,"TIM HELLCAT BPG CHCK FENDER",FENDER,FENDER,5250.00000000,4079.12000000,1170.88000000,22.302476190476,1
91077,PGADRUMKIT7,"SHURE PGADRUMKIT7 KIT DE 7 MICROFONOS PARA BATERIA",REPRESENTACIONES,SHURE,9276.66379000,8098.50500000,1178.15879000,12.700242421958,2
89875,ISSCCC6FRDELUXSTW,"GUITARRA SCHECTER ELECT C-6 FR DELUXE",GONHER,SCHECTER,8648.19828000,7462.85345000,1185.34483000,13.706263335119,1
79332,"FG 228-C40BL GT-6","GUITARRA E/ACUSTICA COLOR AZUL C/EFECTOS Y AFINADOR MCCARTENY",OTROS,OTROS,2825.86206897,1638.00000000,1187.86206897,42.035387431453,1
79336,98,"FG-228C-40BK GUITARRA E/ACUSTICA COLOR NEGRO C/EFECTOS Y AFINADOR MCCARTENY",ENTRERPRICE,MCCARTNEY,2825.86206897,1638.00000000,1187.86206897,42.035387431453,1
89935,CVE-15-NA,"CVE-15-NA ALTAVOZ PROFESIONAL CERWIN VEGA",REPRESENTACIONES,"CERWIN VEGA",9725.64655000,8537.00000000,1188.64655000,12.221774088634,3
88359,GX-100,"Pedal Boss GX- 100 Procesador de Efectos y Amplificadores AIRD",ROLAND,BOSS,9377.15517000,8184.65000000,1192.50517000,12.717131671396,1
75816,JAR-B5N,"BAJO QUINTO JARAMILLO NOGAL",JARAMILLO,JARAMILLO,9194.52586000,8000.00000000,1194.52586000,12.991707002497,1
91353,GPODGOUS,"PROCESADOR DE EFECTOS YAMAHA",YAMAHA,YAMAHA,9163.46552000,7967.90000000,1195.56552000,13.047089197756,6
90552,001959,"BOCINA ALTAVOZ AVZ-12 MOD. TECHNO 315 VAMAV","MASSIVE ELECTRONICA HOME",VAMAV,3862.22414000,2660.34480000,1201.87934000,31.118839726376,2
88839,IPMEIPHCS41620,"PLATILLO MEINL JGO MOD PHCS141620",GONHER,MEINL,9278.01724000,8073.17000000,1204.84724000,12.986042263487,2
88756,GLXD14+-Z3,"MICROFONO INALAMBRICO SHURE",REPRESENTACIONES,SHURE,9539.81034000,8334.27000000,1205.54034000,12.636942423742,2
29177,SLTB009,"TROMBON DE EMBOLOS EN SIb LAQUEADO SSL-900L SILVERTONE",LEMUS,SILVERTONE,6178.68103000,4972.50000000,1206.18103000,19.521658815911,5
82110,DRPA2,"PROCESADOR DE AUDIO DBX PA2",HERMES,DBX,7323.27586000,6116.00000000,1207.27586000,16.485462012898,1
86598,IPNUXDM210,"BATERIA NUX DIGITAL MOD. DM-210",GONHER,NUX,9107.57759000,7898.14655000,1209.43104000,13.279393209100,2
87701,"X-ARRAY 18 PLUS","SISTEMA LINEAL X ARRAY ALIEN PRO //SUBWOOFER 18 MOD.X-ARRAY 18 PLUS",OTROS,OTROS,10667.36207000,9457.75800000,1209.60407000,11.339298901289,3
79370,C-EA-SSR-2BK,"GUITARRA CAMPERO CUERDAS DE ACERO ELECTROACÚSTICA CON RESAQUE",XMUSIC,CAMPERO,2963.79310345,1754.10000000,1209.69310345,40.815706806317,1
30698,IABEHB108D,"BAFLE BEHRINGER C/PODER MOD. B108D",INOVAUDIO,BEHRINGER,4268.77586000,3058.04310000,1210.73276000,28.362528268233,1
89782,BLX188/CVL-J11,"SHURE BLX188/CVL-J11 Sistema inalambrico doble con dos microfonos de solapa",REPRESENTACIONES,SHURE,9553.10345000,8342.19000000,1210.91345000,12.675602816800,1
88393,ISJETJT350SNB,"GUITARRA JET GUITARS ELECT. JT350",GONHER,"JET GUITARS",5845.68966000,4634.62069000,1211.06897000,20.717298393155,1
80348,2311200000,"AMPLIFICADOR FENDER GUITARRA MUSTANG™ LT50 120V NEGRO (AMP)",FENDER,FENDER,5085.34483000,3870.72000000,1214.62483000,23.884807630636,7
89200,88-336,"LASER RGB 5W ILDA ALIEN PRO","QUALITY LIGHTS","ALIEN PRO",10161.79310000,8946.57600000,1215.21710000,11.958687684755,3
87676,2910121500,"GUITARRA JACKSON JS22 DKA, AH FB WHT",FENDER,JACKSON,3878.44828000,2662.41000000,1216.03828000,31.353732013670,17
90693,2807250519,"GUITARRA ELECTRICA GRETSCH G2622T STRML CB DC BRNDWN",FENDER,GRETSCH,9046.86207000,7826.49000000,1220.37207000,13.489451486685,1
90372,2807200597,"GUITARRA GRETSCH GR2655T STRML CB JR DC FRGLW",FENDER,GRETSCH,9046.86207000,7826.35000000,1220.51207000,13.490998984579,2
